,iso3,year,cckp_temp
1019,BEN,1990,1
1020,BEN,1991,1
1021,BEN,1992,1
1022,BEN,1993,1
1023,BEN,1994,1
1024,BEN,1995,1
1025,BEN,1996,1
1026,BEN,1997,1
1027,BEN,1998,1
1028,BEN,1999,1
1029,BEN,2000,1
1030,BEN,2001,1
1031,BEN,2002,1
1032,BEN,2003,1
1033,BEN,2004,1
1034,BEN,2005,1
1035,BEN,2006,1
1036,BEN,2007,1
1037,BEN,2008,1
1038,BEN,2009,1
1039,BEN,2010,1
1040,BEN,2011,1
1041,BEN,2012,1
1042,BEN,2013,1
1043,BEN,2014,1
1044,BEN,2015,1
1045,BEN,2016,1
1046,BEN,2017,1
1047,BEN,2018,1
1048,BEN,2019,1
1049,BEN,2020,1
1050,BFA,1946,0
1051,BFA,1947,0
1052,BFA,1948,0
1053,BFA,1949,0
1054,BFA,1950,0
1055,BFA,1951,0
1056,BFA,1952,0
1057,BFA,1953,0
1058,BFA,1954,0
1059,BFA,1955,0
1060,BFA,1956,0
1061,BFA,1957,0
1062,BFA,1958,0
1063,BFA,1959,0
1064,BFA,1960,0
1065,BFA,1961,1
1066,BFA,1962,1
1067,BFA,1963,1
1068,BFA,1964,1
1069,BFA,1965,1
1070,BFA,1966,1
1071,BFA,1967,1
1072,BFA,1968,1
1073,BFA,1969,1
1074,BFA,1970,1
1075,BFA,1971,1
1076,BFA,1972,1
1077,BFA,1973,1
1078,BFA,1974,1
1079,BFA,1975,1
1080,BFA,1976,1
1081,BFA,1977,1
1082,BFA,1978,1
1083,BFA,1979,1
1084,BFA,1980,1
1085,BFA,1981,1
1086,BFA,1982,1
1087,BFA,1983,1
1088,BFA,1984,1
1089,BFA,1985,1
1090,BFA,1986,1
1091,BFA,1987,1
1092,BFA,1988,1
1093,BFA,1989,1
1094,BFA,1990,1
1095,BFA,1991,1
1096,BFA,1992,1
1097,BFA,1993,1
1098,BFA,1994,1
1099,BFA,1995,1
1100,BFA,1996,1
1101,BFA,1997,1
1102,BFA,1998,1
1103,BFA,1999,1
1104,BFA,2000,1
1105,BFA,2001,1
1106,BFA,2002,1
1107,BFA,2003,1
1108,BFA,2004,1
1109,BFA,2005,1
1110,BFA,2006,1
1111,BFA,2007,1
1112,BFA,2008,1
1113,BFA,2009,1
1114,BFA,2010,1
1115,BFA,2011,1
1116,BFA,2012,1
1117,BFA,2013,1
1118,BFA,2014,1
1119,BFA,2015,1
1120,BFA,2016,1
1121,BFA,2017,1
1122,BFA,2018,1
1123,BFA,2019,1
1124,BFA,2020,1
1125,BGD,1946,0
1126,BGD,1947,0
1127,BGD,1948,0
1128,BGD,1949,0
1129,BGD,1950,0
1130,BGD,1951,0
1131,BGD,1952,0
1132,BGD,1953,0
1133,BGD,1954,0
1134,BGD,1955,0
1135,BGD,1956,0
1136,BGD,1957,0
1137,BGD,1958,0
1138,BGD,1959,0
1139,BGD,1960,0
1140,BGD,1961,0
1141,BGD,1962,0
1142,BGD,1963,0
1143,BGD,1964,0
1144,BGD,1965,0
1145,BGD,1966,0
1146,BGD,1967,0
1147,BGD,1968,0
1148,BGD,1969,0
1149,BGD,1970,0
1150,BGD,1971,1
1151,BGD,1972,1
1152,BGD,1973,1
1153,BGD,1974,1
1154,BGD,1975,1
1155,BGD,1976,1
1156,BGD,1977,1
1157,BGD,1978,1
1158,BGD,1979,1
1159,BGD,1980,1
1160,BGD,1981,1
1161,BGD,1982,1
1162,BGD,1983,1
1163,BGD,1984,1
1164,BGD,1985,1
